ueberlebt,klasse,geschlecht,alter,geschwister_ehepartner,eltern_kinder,fahrpreis,eingestiegen,klassenbezeichnung,rolle,erwachsener_mann,deck,hafen,allein
1,1,maennlich,28.0,0,0,35.5,Southampton,Erste,Mann,True,A,Southampton,True
0,3,weiblich,8.0,3,1,21.075,Southampton,Dritte,Kind,False,,Southampton,False
1,3,weiblich,38.0,1,5,31.3875,Southampton,Dritte,Frau,False,,Southampton,False
0,3,maennlich,,0,0,7.225,Cherbourg,Dritte,Mann,True,,Cherbourg,True
0,1,maennlich,19.0,3,2,263.0,Southampton,Erste,Mann,True,C,Southampton,False
1,3,weiblich,,0,0,7.8792,Queenstown,Dritte,Frau,False,,Queenstown,True
0,3,maennlich,,0,0,7.8958,Southampton,Dritte,Mann,True,,Southampton,True
0,1,maennlich,40.0,0,0,27.7208,Cherbourg,Erste,Mann,True,,Cherbourg,True
1,1,weiblich,,1,0,146.5208,Cherbourg,Erste,Frau,False,B,Cherbourg,False
1,3,weiblich,,0,0,7.75,Queenstown,Dritte,Frau,False,,Queenstown,True
0,2,maennlich,66.0,0,0,10.5,Southampton,Zweite,Mann,True,,Southampton,True
0,1,maennlich,28.0,1,0,82.1708,Cherbourg,Erste,Mann,True,,Cherbourg,False
0,1,maennlich,42.0,1,0,52.0,Southampton,Erste,Mann,True,,Southampton,False
1,3,maennlich,,0,0,7.2292,Cherbourg,Dritte,Mann,True,,Cherbourg,True
0,3,maennlich,21.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,3,weiblich,18.0,2,0,18.0,Southampton,Dritte,Frau,False,,Southampton,False
1,3,weiblich,14.0,1,0,11.2417,Cherbourg,Dritte,Kind,False,,Cherbourg,False
0,3,weiblich,40.0,1,0,9.475,Southampton,Dritte,Frau,False,,Southampton,False
0,2,weiblich,27.0,1,0,21.0,Southampton,Zweite,Frau,False,,Southampton,False
0,3,maennlich,,0,0,7.8958,Cherbourg,Dritte,Mann,True,,Cherbourg,True
1,2,weiblich,3.0,1,2,41.5792,Cherbourg,Zweite,Kind,False,,Cherbourg,False
1,3,weiblich,19.0,0,0,7.8792,Queenstown,Dritte,Frau,False,,Queenstown,True
0,3,maennlich,,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,,1,0,15.5,Queenstown,Dritte,Mann,True,,Queenstown,False
1,3,weiblich,,0,0,7.75,Queenstown,Dritte,Frau,False,,Queenstown,True
0,3,maennlich,,2,0,21.6792,Cherbourg,Dritte,Mann,True,,Cherbourg,False
0,3,weiblich,18.0,1,0,17.8,Southampton,Dritte,Frau,False,,Southampton,False
0,3,maennlich,7.0,4,1,39.6875,Southampton,Dritte,Kind,False,,Southampton,False
0,3,maennlich,21.0,0,0,7.8,Southampton,Dritte,Mann,True,,Southampton,True
1,1,weiblich,49.0,1,0,76.7292,Cherbourg,Erste,Frau,False,D,Cherbourg,False
1,2,weiblich,29.0,1,0,26.0,Southampton,Zweite,Frau,False,,Southampton,False
0,1,maennlich,65.0,0,1,61.9792,Cherbourg,Erste,Mann,True,B,Cherbourg,False
1,1,maennlich,,0,0,35.5,Southampton,Erste,Mann,True,C,Southampton,True
1,2,weiblich,21.0,0,0,10.5,Southampton,Zweite,Frau,False,,Southampton,True
0,3,maennlich,28.5,0,0,7.2292,Cherbourg,Dritte,Mann,True,,Cherbourg,True
1,2,weiblich,5.0,1,2,27.75,Southampton,Zweite,Kind,False,,Southampton,False
0,3,maennlich,11.0,5,2,46.9,Southampton,Dritte,Kind,False,,Southampton,False
0,3,maennlich,22.0,0,0,7.2292,Cherbourg,Dritte,Mann,True,,Cherbourg,True
1,1,weiblich,38.0,0,0,80.0,,Erste,Frau,False,B,,True
0,1,maennlich,45.0,1,0,83.475,Southampton,Erste,Mann,True,C,Southampton,False
0,3,maennlich,4.0,3,2,27.9,Southampton,Dritte,Kind,False,,Southampton,False
0,1,maennlich,,0,0,27.7208,Cherbourg,Erste,Mann,True,,Cherbourg,True
1,3,maennlich,,1,1,15.2458,Cherbourg,Dritte,Mann,True,,Cherbourg,False
1,2,weiblich,29.0,0,0,10.5,Southampton,Zweite,Frau,False,F,Southampton,True
0,3,maennlich,19.0,0,0,8.1583,Southampton,Dritte,Mann,True,,Southampton,True
1,3,weiblich,17.0,4,2,7.925,Southampton,Dritte,Frau,False,,Southampton,False
0,3,maennlich,26.0,2,0,8.6625,Southampton,Dritte,Mann,True,,Southampton,False
0,2,maennlich,32.0,0,0,10.5,Southampton,Zweite,Mann,True,,Southampton,True
0,3,weiblich,16.0,5,2,46.9,Southampton,Dritte,Frau,False,,Southampton,False
0,2,maennlich,21.0,0,0,73.5,Southampton,Zweite,Mann,True,,Southampton,True
0,3,maennlich,26.0,1,0,14.4542,Cherbourg,Dritte,Mann,True,,Cherbourg,False
1,3,maennlich,32.0,0,0,56.4958,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,25.0,0,0,7.65,Southampton,Dritte,Mann,True,F,Southampton,True
0,3,maennlich,,0,0,7.8958,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
1,2,maennlich,0.83,0,2,29.0,Southampton,Zweite,Kind,False,,Southampton,False
1,3,weiblich,30.0,0,0,12.475,Southampton,Dritte,Frau,False,,Southampton,True
0,3,maennlich,22.0,0,0,9.0,Southampton,Dritte,Mann,True,,Southampton,True
1,3,maennlich,29.0,0,0,9.5,Southampton,Dritte,Mann,True,,Southampton,True
1,3,weiblich,,0,0,7.7875,Queenstown,Dritte,Frau,False,,Queenstown,True
0,1,maennlich,28.0,0,0,47.1,Southampton,Erste,Mann,True,,Southampton,True
1,2,weiblich,17.0,0,0,10.5,Southampton,Zweite,Frau,False,,Southampton,True
1,3,weiblich,33.0,3,0,15.85,Southampton,Dritte,Frau,False,,Southampton,False
0,3,maennlich,16.0,1,3,34.375,Southampton,Dritte,Mann,True,,Southampton,False
0,3,maennlich,,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
1,1,weiblich,23.0,3,2,263.0,Southampton,Erste,Frau,False,C,Southampton,False
0,3,maennlich,24.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,29.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,20.0,0,0,7.8542,Southampton,Dritte,Mann,True,,Southampton,True
0,1,maennlich,46.0,1,0,61.175,Southampton,Erste,Mann,True,E,Southampton,False
0,3,maennlich,26.0,1,2,20.575,Southampton,Dritte,Mann,True,,Southampton,False
0,3,maennlich,59.0,0,0,7.25,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,1,maennlich,71.0,0,0,34.6542,Cherbourg,Erste,Mann,True,A,Cherbourg,True
1,1,maennlich,23.0,0,1,63.3583,Cherbourg,Erste,Mann,True,D,Cherbourg,False
1,2,weiblich,34.0,0,1,23.0,Southampton,Zweite,Frau,False,,Southampton,False
0,2,maennlich,34.0,1,0,26.0,Southampton,Zweite,Mann,True,,Southampton,False
0,3,weiblich,28.0,0,0,7.8958,Southampton,Dritte,Frau,False,,Southampton,True
0,3,maennlich,,0,0,7.8958,Southampton,Dritte,Mann,True,,Southampton,True
0,1,maennlich,21.0,0,1,77.2875,Southampton,Erste,Mann,True,D,Southampton,False
0,3,maennlich,33.0,0,0,8.6542,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,37.0,2,0,7.925,Southampton,Dritte,Mann,True,,Southampton,False
0,3,maennlich,28.0,0,0,7.8958,Southampton,Dritte,Mann,True,,Southampton,True
1,3,weiblich,21.0,0,0,7.65,Southampton,Dritte,Frau,False,,Southampton,True
1,3,maennlich,,0,0,7.775,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,38.0,0,0,7.8958,Southampton,Dritte,Mann,True,,Southampton,True
1,3,weiblich,,1,0,24.15,Queenstown,Dritte,Frau,False,,Queenstown,False
0,1,maennlich,47.0,0,0,52.0,Southampton,Erste,Mann,True,C,Southampton,True
0,3,weiblich,14.5,1,0,14.4542,Cherbourg,Dritte,Kind,False,,Cherbourg,False
0,3,maennlich,22.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,3,weiblich,20.0,1,0,9.825,Southampton,Dritte,Frau,False,,Southampton,False
0,3,weiblich,17.0,0,0,14.4583,Cherbourg,Dritte,Frau,False,,Cherbourg,True
0,3,maennlich,21.0,0,0,7.925,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,70.5,0,0,7.75,Queenstown,Dritte,Mann,True,,Queenstown,True
0,2,maennlich,29.0,1,0,21.0,Southampton,Zweite,Mann,True,,Southampton,False
0,1,maennlich,24.0,0,1,247.5208,Cherbourg,Erste,Mann,True,B,Cherbourg,False
0,3,weiblich,2.0,4,2,31.275,Southampton,Dritte,Kind,False,,Southampton,False
0,2,maennlich,21.0,2,0,73.5,Southampton,Zweite,Mann,True,,Southampton,False
0,3,maennlich,,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,2,maennlich,32.5,1,0,30.0708,Cherbourg,Zweite,Mann,True,,Cherbourg,False
1,2,weiblich,32.5,0,0,13.0,Southampton,Zweite,Frau,False,E,Southampton,True
0,1,maennlich,54.0,0,1,77.2875,Southampton,Erste,Mann,True,D,Southampton,False
1,3,maennlich,12.0,1,0,11.2417,Cherbourg,Dritte,Kind,False,,Cherbourg,False
0,3,maennlich,,0,0,7.75,Queenstown,Dritte,Mann,True,,Queenstown,True
1,3,maennlich,24.0,0,0,7.1417,Southampton,Dritte,Mann,True,,Southampton,True
1,3,weiblich,,1,1,22.3583,Cherbourg,Dritte,Frau,False,F,Cherbourg,False
0,3,maennlich,45.0,0,0,6.975,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,33.0,0,0,7.8958,Cherbourg,Dritte,Mann,True,,Cherbourg,True
0,3,maennlich,20.0,0,0,7.05,Southampton,Dritte,Mann,True,,Southampton,True
0,3,weiblich,47.0,1,0,14.5,Southampton,Dritte,Frau,False,,Southampton,False
1,2,weiblich,29.0,1,0,26.0,Southampton,Zweite,Frau,False,,Southampton,False
0,2,maennlich,25.0,0,0,13.0,Southampton,Zweite,Mann,True,,Southampton,True
0,2,maennlich,23.0,0,0,15.0458,Cherbourg,Zweite,Mann,True,,Cherbourg,True
1,1,weiblich,19.0,0,2,26.2833,Southampton,Erste,Frau,False,D,Southampton,False
0,1,maennlich,37.0,1,0,53.1,Southampton,Erste,Mann,True,C,Southampton,False
0,3,maennlich,16.0,0,0,9.2167,Southampton,Dritte,Mann,True,,Southampton,True
0,1,maennlich,24.0,0,0,79.2,Cherbourg,Erste,Mann,True,B,Cherbourg,True
0,3,weiblich,,0,2,15.2458,Cherbourg,Dritte,Frau,False,,Cherbourg,False
1,3,weiblich,22.0,0,0,7.75,Southampton,Dritte,Frau,False,,Southampton,True
1,3,weiblich,24.0,1,0,15.85,Southampton,Dritte,Frau,False,,Southampton,False
0,3,maennlich,19.0,0,0,6.75,Queenstown,Dritte,Mann,True,,Queenstown,True
0,2,maennlich,18.0,0,0,11.5,Southampton,Zweite,Mann,True,,Southampton,True
0,2,maennlich,19.0,1,1,36.75,Southampton,Zweite,Mann,True,,Southampton,False
1,3,maennlich,27.0,0,0,7.7958,Southampton,Dritte,Mann,True,,Southampton,True
0,3,weiblich,9.0,2,2,34.375,Southampton,Dritte,Kind,False,,Southampton,False
0,2,maennlich,36.5,0,2,26.0,Southampton,Zweite,Mann,True,F,Southampton,False
0,2,maennlich,42.0,0,0,13.0,Southampton,Zweite,Mann,True,,Southampton,True
0,2,maennlich,51.0,0,0,12.525,Southampton,Zweite,Mann,True,,Southampton,True
1,1,weiblich,22.0,1,0,66.6,Southampton,Erste,Frau,False,C,Southampton,False
0,3,maennlich,55.5,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,40.5,0,2,14.5,Southampton,Dritte,Mann,True,,Southampton,False
0,3,maennlich,,0,0,7.3125,Southampton,Dritte,Mann,True,,Southampton,True
0,1,maennlich,51.0,0,1,61.3792,Cherbourg,Erste,Mann,True,,Cherbourg,False
1,3,weiblich,16.0,0,0,7.7333,Queenstown,Dritte,Frau,False,,Queenstown,True
0,3,maennlich,30.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,,0,0,8.6625,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,,8,2,69.55,Southampton,Dritte,Mann,True,,Southampton,False
0,3,maennlich,44.0,0,1,16.1,Southampton,Dritte,Mann,True,,Southampton,False
1,2,weiblich,40.0,0,0,15.75,Southampton,Zweite,Frau,False,,Southampton,True
0,3,maennlich,26.0,0,0,7.775,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,17.0,0,0,8.6625,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,1.0,4,1,39.6875,Southampton,Dritte,Kind,False,,Southampton,False
1,3,maennlich,9.0,0,2,20.525,Southampton,Dritte,Kind,False,,Southampton,False
1,1,weiblich,,0,1,55.0,Southampton,Erste,Frau,False,E,Southampton,False
0,3,weiblich,45.0,1,4,27.9,Southampton,Dritte,Frau,False,,Southampton,False
0,1,maennlich,,0,0,25.925,Southampton,Erste,Mann,True,,Southampton,True
0,3,maennlich,28.0,0,0,56.4958,Southampton,Dritte,Mann,True,,Southampton,True
0,1,maennlich,61.0,0,0,33.5,Southampton,Erste,Mann,True,B,Southampton,True
0,3,maennlich,4.0,4,1,29.125,Queenstown,Dritte,Kind,False,,Queenstown,False
1,3,weiblich,1.0,1,1,11.1333,Southampton,Dritte,Kind,False,,Southampton,False
0,3,maennlich,21.0,0,0,7.925,Southampton,Dritte,Mann,True,,Southampton,True
0,1,maennlich,56.0,0,0,30.6958,Cherbourg,Erste,Mann,True,A,Cherbourg,True
0,3,maennlich,18.0,1,1,7.8542,Southampton,Dritte,Mann,True,,Southampton,False
0,3,maennlich,,3,1,25.4667,Southampton,Dritte,Mann,True,,Southampton,False
0,1,weiblich,50.0,0,0,28.7125,Cherbourg,Erste,Frau,False,C,Cherbourg,True
0,2,maennlich,30.0,0,0,13.0,Southampton,Zweite,Mann,True,,Southampton,True
0,3,maennlich,36.0,0,0,0.0,Southampton,Dritte,Mann,True,,Southampton,True
0,3,weiblich,,8,2,69.55,Southampton,Dritte,Frau,False,,Southampton,False
0,2,maennlich,,0,0,15.05,Cherbourg,Zweite,Mann,True,,Cherbourg,True
0,3,maennlich,9.0,4,2,31.3875,Southampton,Dritte,Kind,False,,Southampton,False
1,2,maennlich,1.0,2,1,39.0,Southampton,Zweite,Kind,False,F,Southampton,False
1,3,weiblich,4.0,0,2,22.025,Southampton,Dritte,Kind,False,,Southampton,False
0,1,maennlich,,0,0,50.0,Southampton,Erste,Mann,True,A,Southampton,True
1,3,weiblich,,1,0,15.5,Queenstown,Dritte,Frau,False,,Queenstown,False
1,1,maennlich,45.0,0,0,26.55,Southampton,Erste,Mann,True,,Southampton,True
0,3,maennlich,40.0,1,1,15.5,Queenstown,Dritte,Mann,True,,Queenstown,False
0,3,maennlich,36.0,0,0,7.8958,Southampton,Dritte,Mann,True,,Southampton,True
1,2,weiblich,32.0,0,0,13.0,Southampton,Zweite,Frau,False,,Southampton,True
0,2,maennlich,19.0,0,0,13.0,Southampton,Zweite,Mann,True,,Southampton,True
1,3,weiblich,19.0,1,0,7.8542,Southampton,Dritte,Frau,False,,Southampton,False
1,2,maennlich,3.0,1,1,26.0,Southampton,Zweite,Kind,False,F,Southampton,False
1,1,weiblich,44.0,0,0,27.7208,Cherbourg,Erste,Frau,False,B,Cherbourg,True
1,1,weiblich,58.0,0,0,146.5208,Cherbourg,Erste,Frau,False,B,Cherbourg,True
0,3,maennlich,,0,0,7.75,Queenstown,Dritte,Mann,True,,Queenstown,True
0,3,maennlich,42.0,0,1,8.4042,Southampton,Dritte,Mann,True,,Southampton,False
1,3,weiblich,,0,0,7.75,Queenstown,Dritte,Frau,False,,Queenstown,True
0,2,weiblich,24.0,0,0,13.0,Southampton,Zweite,Frau,False,,Southampton,True
0,3,maennlich,28.0,0,0,9.5,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,,8,2,69.55,Southampton,Dritte,Mann,True,,Southampton,False
0,3,maennlich,34.0,0,0,6.4958,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,45.5,0,0,7.225,Cherbourg,Dritte,Mann,True,,Cherbourg,True
1,3,maennlich,18.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,3,weiblich,2.0,0,1,10.4625,Southampton,Dritte,Kind,False,G,Southampton,False
0,3,maennlich,32.0,1,0,15.85,Southampton,Dritte,Mann,True,,Southampton,False
1,3,maennlich,26.0,0,0,18.7875,Cherbourg,Dritte,Mann,True,,Cherbourg,True
1,3,weiblich,16.0,0,0,7.75,Queenstown,Dritte,Frau,False,,Queenstown,True
1,1,maennlich,40.0,0,0,31.0,Cherbourg,Erste,Mann,True,A,Cherbourg,True
0,3,maennlich,24.0,0,0,7.05,Southampton,Dritte,Mann,True,,Southampton,True
1,2,weiblich,35.0,0,0,21.0,Southampton,Zweite,Frau,False,,Southampton,True
0,3,maennlich,22.0,0,0,7.25,Southampton,Dritte,Mann,True,,Southampton,True
0,2,maennlich,30.0,0,0,13.0,Southampton,Zweite,Mann,True,,Southampton,True
0,3,maennlich,,1,0,7.75,Queenstown,Dritte,Mann,True,,Queenstown,False
1,1,weiblich,31.0,1,0,113.275,Cherbourg,Erste,Frau,False,D,Cherbourg,False
1,3,weiblich,27.0,0,0,7.925,Southampton,Dritte,Frau,False,,Southampton,True
0,2,maennlich,42.0,1,0,27.0,Southampton,Zweite,Mann,True,,Southampton,False
1,1,weiblich,32.0,0,0,76.2917,Cherbourg,Erste,Frau,False,D,Cherbourg,True
0,2,maennlich,30.0,0,0,10.5,Southampton,Zweite,Mann,True,,Southampton,True
1,3,maennlich,16.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,2,maennlich,27.0,0,0,13.0,Southampton,Zweite,Mann,True,,Southampton,True
0,3,maennlich,51.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,,0,0,7.8958,Southampton,Dritte,Mann,True,,Southampton,True
1,1,maennlich,38.0,1,0,90.0,Southampton,Erste,Mann,True,C,Southampton,False
0,3,maennlich,22.0,0,0,9.35,Southampton,Dritte,Mann,True,,Southampton,True
1,2,maennlich,19.0,0,0,10.5,Southampton,Zweite,Mann,True,,Southampton,True
0,3,maennlich,20.5,0,0,7.25,Southampton,Dritte,Mann,True,,Southampton,True
0,2,maennlich,18.0,0,0,13.0,Southampton,Zweite,Mann,True,,Southampton,True
0,3,weiblich,,3,1,25.4667,Southampton,Dritte,Frau,False,,Southampton,False
1,1,weiblich,35.0,1,0,83.475,Southampton,Erste,Frau,False,C,Southampton,False
0,3,maennlich,29.0,0,0,7.775,Southampton,Dritte,Mann,True,,Southampton,True
0,2,maennlich,59.0,0,0,13.5,Southampton,Zweite,Mann,True,,Southampton,True
1,3,weiblich,5.0,4,2,31.3875,Southampton,Dritte,Kind,False,,Southampton,False
0,2,maennlich,24.0,0,0,10.5,Southampton,Zweite,Mann,True,,Southampton,True
0,3,weiblich,,0,0,7.55,Southampton,Dritte,Frau,False,,Southampton,True
0,2,maennlich,44.0,1,0,26.0,Southampton,Zweite,Mann,True,,Southampton,False
1,2,weiblich,8.0,0,2,26.25,Southampton,Zweite,Kind,False,,Southampton,False
0,2,maennlich,19.0,0,0,10.5,Southampton,Zweite,Mann,True,,Southampton,True
0,2,maennlich,33.0,0,0,12.275,Southampton,Zweite,Mann,True,,Southampton,True
0,3,weiblich,,1,0,14.4542,Cherbourg,Dritte,Frau,False,,Cherbourg,False
1,3,weiblich,,1,0,15.5,Queenstown,Dritte,Frau,False,,Queenstown,False
0,2,maennlich,29.0,0,0,10.5,Southampton,Zweite,Mann,True,,Southampton,True
0,3,maennlich,22.0,0,0,7.125,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,30.0,0,0,7.225,Cherbourg,Dritte,Mann,True,,Cherbourg,True
0,1,maennlich,44.0,2,0,90.0,Queenstown,Erste,Mann,True,C,Queenstown,False
0,3,weiblich,25.0,0,0,7.775,Southampton,Dritte,Frau,False,,Southampton,True
1,2,weiblich,24.0,0,2,14.5,Southampton,Zweite,Frau,False,,Southampton,False
1,1,maennlich,37.0,1,1,52.5542,Southampton,Erste,Mann,True,D,Southampton,False
0,2,maennlich,54.0,1,0,26.0,Southampton,Zweite,Mann,True,,Southampton,False
0,3,maennlich,,0,0,7.25,Southampton,Dritte,Mann,True,,Southampton,True
0,3,weiblich,29.0,1,1,10.4625,Southampton,Dritte,Frau,False,G,Southampton,False
0,1,maennlich,62.0,0,0,26.55,Southampton,Erste,Mann,True,C,Southampton,True
0,3,maennlich,30.0,1,0,16.1,Southampton,Dritte,Mann,True,,Southampton,False
0,3,weiblich,41.0,0,2,20.2125,Southampton,Dritte,Frau,False,,Southampton,False
1,3,weiblich,29.0,0,2,15.2458,Cherbourg,Dritte,Frau,False,,Cherbourg,False
1,1,weiblich,,0,0,79.2,Cherbourg,Erste,Frau,False,,Cherbourg,True
1,1,weiblich,30.0,0,0,86.5,Southampton,Erste,Frau,False,B,Southampton,True
1,1,weiblich,35.0,0,0,512.3292,Cherbourg,Erste,Frau,False,,Cherbourg,True
1,2,weiblich,50.0,0,1,26.0,Southampton,Zweite,Frau,False,,Southampton,False
0,3,maennlich,,0,0,7.75,Queenstown,Dritte,Mann,True,,Queenstown,True
1,3,maennlich,3.0,4,2,31.3875,Southampton,Dritte,Kind,False,,Southampton,False
0,1,maennlich,52.0,1,1,79.65,Southampton,Erste,Mann,True,E,Southampton,False
0,1,maennlich,40.0,0,0,0.0,Southampton,Erste,Mann,True,B,Southampton,True
0,3,weiblich,,0,0,7.75,Queenstown,Dritte,Frau,False,,Queenstown,True
0,2,maennlich,36.0,0,0,10.5,Southampton,Zweite,Mann,True,,Southampton,True
0,3,maennlich,16.0,4,1,39.6875,Southampton,Dritte,Mann,True,,Southampton,False
1,3,maennlich,25.0,1,0,7.775,Southampton,Dritte,Mann,True,,Southampton,False
1,1,weiblich,58.0,0,1,153.4625,Southampton,Erste,Frau,False,C,Southampton,False
1,1,weiblich,35.0,0,0,135.6333,Southampton,Erste,Frau,False,C,Southampton,True
0,1,maennlich,,0,0,31.0,Southampton,Erste,Mann,True,,Southampton,True
1,3,maennlich,25.0,0,0,0.0,Southampton,Dritte,Mann,True,,Southampton,True
1,2,weiblich,41.0,0,1,19.5,Southampton,Zweite,Frau,False,,Southampton,False
0,1,maennlich,37.0,0,1,29.7,Cherbourg,Erste,Mann,True,C,Cherbourg,False
1,3,weiblich,,0,0,7.75,Queenstown,Dritte,Frau,False,,Queenstown,True
1,1,weiblich,63.0,1,0,77.9583,Southampton,Erste,Frau,False,D,Southampton,False
0,3,weiblich,45.0,0,0,7.75,Southampton,Dritte,Frau,False,,Southampton,True
0,2,maennlich,,0,0,0.0,Southampton,Zweite,Mann,True,,Southampton,True
0,3,maennlich,7.0,4,1,29.125,Queenstown,Dritte,Kind,False,,Queenstown,False
1,3,weiblich,35.0,1,1,20.25,Southampton,Dritte,Frau,False,,Southampton,False
0,3,maennlich,65.0,0,0,7.75,Queenstown,Dritte,Mann,True,,Queenstown,True
0,3,maennlich,28.0,0,0,7.8542,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,16.0,0,0,9.5,Southampton,Dritte,Mann,True,,Southampton,True
1,3,maennlich,19.0,0,0,8.05,Southampton,Dritte,Mann,True,,Southampton,True
0,1,maennlich,,0,0,26.0,Southampton,Erste,Mann,True,A,Southampton,True
0,3,maennlich,33.0,0,0,8.6625,Cherbourg,Dritte,Mann,True,,Cherbourg,True
1,3,maennlich,30.0,0,0,9.5,Southampton,Dritte,Mann,True,,Southampton,True
0,3,maennlich,22.0,0,0,7.8958,Southampton,Dritte,Mann,True,,Southampton,True
1,2,maennlich,42.0,0,0,13.0,Southampton,Zweite,Mann,True,,Southampton,True
1,3,weiblich,22.0,0,0,7.75,Queenstown,Dritte,Frau,False,,Queenstown,True
1,1,weiblich,26.0,0,0,78.85,Southampton,Erste,Frau,False,,Southampton,True
1,1,weiblich,19.0,1,0,91.0792,Cherbourg,Erste,Frau,False,B,Cherbourg,False
0,2,maennlich,36.0,0,0,12.875,Cherbourg,Zweite,Mann,True,D,Cherbourg,True
0,3,weiblich,24.0,0,0,8.85,Southampton,Dritte,Frau,False,,Southampton,True
0,3,maennlich,24.0,0,0,7.8958,Southampton,Dritte,Mann,True,,Southampton,True
0,1,maennlich,,0,0,27.7208,Cherbourg,Erste,Mann,True,,Cherbourg,True
0,3,maennlich,23.5,0,0,7.2292,Cherbourg,Dritte,Mann,True,,Cherbourg,True
0,1,weiblich,2.0,1,2,151.55,Southampton,Erste,Kind,False,C,Southampton,False
1,1,maennlich,,0,0,30.5,Southampton,Erste,Mann,True,C,Southampton,True
1,1,weiblich,50.0,0,1,247.5208,Cherbourg,Erste,Frau,False,B,Cherbourg,False
1,3,weiblich,,0,0,7.75,Queenstown,Dritte,Frau,False,,Queenstown,True
1,3,maennlich,,2,0,23.25,Queenstown,Dritte,Mann,True,,Queenstown,False
0,3,maennlich,19.0,0,0,0.0,Southampton,Dritte,Mann,True,,Southampton,True
